country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Eritrea,ERI,531,2016,0.009,0.2906653277643212,-0.2816653277643212
Uzbekistan,UZB,704,2016,0.038,0.2995169402960606,-0.2615169402960606
Ethiopia,ETH,530,2016,0.091,0.339115443242591,-0.24811544324259102
Angola,AGO,540,2016,0.067,0.30631414854210437,-0.23931414854210437
Sudan,SDN,625,2016,0.09,0.3226108331709133,-0.23261083317091333
Nicaragua,NIC,93,2016,0.173,0.3981160647918886,-0.22511606479188861
Tajikistan,TJK,702,2016,0.054,0.25303917337479476,-0.19903917337479476
United Arab Emirates,ARE,696,2016,0.03,0.22734930609775603,-0.19734930609775603
China,CHN,710,2016,0.038,0.2295756809670785,-0.1915756809670785
Saudi Arabia,SAU,670,2016,0.025,0.21535650582465513,-0.19035650582465513
Republic of the Congo,COG,484,2016,0.132,0.32089894337972047,-0.18889894337972046
Kazakhstan,KAZ,705,2016,0.077,0.26108175262738376,-0.18408175262738374
Egypt,EGY,651,2016,0.056,0.23599776787183194,-0.17999776787183194
Morocco,MAR,600,2016,0.174,0.35230747316344263,-0.17830747316344264
The Gambia,GMB,420,2016,0.145,0.3226108331709133,-0.17761083317091333
Bahrain,BHR,692,2016,0.045,0.2224289569365684,-0.1774289569365684
Azerbaijan,AZE,373,2016,0.066,0.23485882200618485,-0.16885882200618485
Cuba,CUB,40,2016,0.044,0.21156565788858672,-0.16756565788858674
Qatar,QAT,694,2016,0.023,0.1793323044388958,-0.1563323044388958
Iran,IRN,630,2016,0.049,0.2036008716316614,-0.15460087163166142
Chad,TCD,483,2016,0.123,0.2704815976728748,-0.14748159767287478
Venezuela,VEN,101,2016,0.207,0.3480134135413531,-0.14101341354135313
Belarus,BLR,370,2016,0.098,0.23599776787183194,-0.13799776787183193
Eswatini,SWZ,572,2016,0.121,0.25560063680028056,-0.13460063680028056
Armenia,ARM,371,2016,0.219,0.3531375022863259,-0.1341375022863259
Bangladesh,BGD,771,2016,0.12,0.24957200073274788,-0.12957200073274788
North Korea,PRK,731,2016,0.043,0.17204386298230556,-0.12904386298230558
Jordan,JOR,663,2016,0.11,0.23470082429523567,-0.12470082429523567
Algeria,DZA,615,2016,0.109,0.23347538417582955,-0.12447538417582955
Singapore,SGP,830,2016,0.113,0.23466159129123593,-0.12166159129123592
Cameroon,CMR,471,2016,0.122,0.24246606593690273,-0.12046606593690273
Burundi,BDI,516,2016,0.14,0.2582928338472792,-0.11829283384727918
Oman,OMN,698,2016,0.124,0.24193521498316192,-0.11793521498316192
Laos,LAO,812,2016,0.097,0.21280689505865585,-0.11580689505865585
Afghanistan,AFG,700,2016,0.135,0.2506267486395456,-0.11562674863954558
Maldives,MDV,781,2016,0.224,0.3387056551379853,-0.11470565513798528
Cambodia,KHM,811,2016,0.102,0.2156493623384803,-0.11364936233848032
Zimbabwe,ZWE,552,2016,0.233,0.33252324743046763,-0.09952324743046762
Equatorial Guinea,GNQ,411,2016,0.056,0.15366621561872112,-0.09766621561872113
Democratic Republic of the Congo,COD,490,2016,0.207,0.29698956779008157,-0.08998956779008158
North Macedonia,MKD,343,2016,0.293,0.3800481370502736,-0.08704813705027364
Russia,RUS,365,2016,0.148,0.2331384733144127,-0.08513847331441271
Seychelles,SYC,591,2016,0.237,0.31809167403997674,-0.08109167403997675
Fiji,FJI,950,2016,0.194,0.26562553359996127,-0.07162553359996127
Djibouti,DJI,522,2016,0.132,0.2018125333477008,-0.0698125333477008
Papua New Guinea,PNG,910,2016,0.27,0.33949750362348163,-0.06949750362348162
Kyrgyzstan,KGZ,703,2016,0.269,0.32732910648589,-0.05832910648588996
Vietnam,VNM,816,2016,0.167,0.22059098889125492,-0.05359098889125491
Mozambique,MOZ,541,2016,0.272,0.3250653436382763,-0.05306534363827631
Togo,TGO,461,2016,0.184,0.23599776787183194,-0.05199776787183194
Zambia,ZMB,551,2016,0.263,0.3145567530305381,-0.05155675303053808
Central African Republic,CAF,482,2016,0.185,0.23599776787183194,-0.05099776787183194
Mauritania,MRT,435,2016,0.173,0.2224289569365684,-0.0494289569365684
Uganda,UGA,500,2016,0.209,0.2582928338472792,-0.0492928338472792
Haiti,HTI,41,2016,0.252,0.30080260013576976,-0.04880260013576976
Libya,LBY,620,2016,0.181,0.22368045760900954,-0.04268045760900954
Montenegro,MNE,341,2016,0.319,0.3587273189770485,-0.03972731897704851
Rwanda,RWA,517,2016,0.197,0.23599776787183194,-0.03899776787183193
Ukraine,UKR,369,2016,0.289,0.3236611499190183,-0.03466114991901831
Türkiye,TUR,640,2016,0.207,0.23599776787183194,-0.028997767871831948
Albania,ALB,339,2016,0.318,0.3275058031844107,-0.009505803184410688
Colombia,COL,100,2016,0.492,0.5007145717180019,-0.00871457171800194
Comoros,COM,581,2016,0.261,0.2557710952826727,0.005228904717327287
Iraq,IRQ,645,2016,0.258,0.2523528513023928,0.005647148697607185
Gabon,GAB,481,2016,0.269,0.26014569889282135,0.008854301107178664
Malaysia,MYS,820,2016,0.233,0.22362509746080947,0.009374902539190544
Guinea,GIN,438,2016,0.247,0.23599776787183194,0.01100223212816806
Honduras,HND,91,2016,0.277,0.2602592846018705,0.016740715398129546
Guinea-Bissau,GNB,404,2016,0.218,0.1955450358045438,0.0224549641954562
Bhutan,BTN,760,2016,0.353,0.3298515883867434,0.023148411613256592
Bolivia,BOL,145,2016,0.462,0.4362753521770322,0.025724647822967794
Guatemala,GTM,90,2016,0.368,0.34154791282322,0.026452087176779993
Kuwait,KWT,690,2016,0.108,0.07982724171598038,0.02817275828401962
Pakistan,PAK,770,2016,0.264,0.22839020971308951,0.0356097902869105
Tanzania,TZA,510,2016,0.266,0.22839020971308951,0.0376097902869105
Paraguay,PRY,150,2016,0.372,0.33363717225213196,0.038362827747868034
Nepal,NPL,790,2016,0.372,0.33174201052048236,0.04025798947951764
Ghana,GHA,452,2016,0.363,0.3222932139339415,0.04070678606605849
Ivory Coast,CIV,437,2016,0.351,0.3065015266544901,0.04449847334550988
Madagascar,MDG,580,2016,0.301,0.25560063680028056,0.045399363199719434
Lebanon,LBN,660,2016,0.274,0.22839020971308951,0.045609790286910507
Burma/Myanmar,MMR,775,2016,0.236,0.18451028787459492,0.05148971212540507
Kosovo,XKX,347,2016,0.382,0.3257888204189004,0.05621117958109961
Ecuador,ECU,130,2016,0.364,0.30631414854210437,0.05768585145789562
Mongolia,MNG,712,2016,0.368,0.2997038347137874,0.06829616528621257
India,IND,750,2016,0.319,0.23975036307160524,0.07924963692839476
Dominican Republic,DOM,42,2016,0.354,0.2710870999296797,0.08291290007032026
Barbados,BRB,53,2016,0.337,0.25288957887575225,0.08411042112424777
Georgia,GEO,372,2016,0.443,0.3587268035048904,0.08427319649510961
Sierra Leone,SLE,451,2016,0.34,0.25560063680028056,0.08439936319971947
Burkina Faso,BFA,439,2016,0.409,0.31456812461040556,0.09443187538959441
Philippines,PHL,840,2016,0.331,0.23599776787183194,0.09500223212816808
Nigeria,NGA,475,2016,0.37,0.2722518837092905,0.09774811629070951
Lesotho,LSO,570,2016,0.347,0.24909939970135345,0.09790060029864653
Mali,MLI,432,2016,0.327,0.22839020971308951,0.0986097902869105
Bosnia and Herzegovina,BIH,346,2016,0.323,0.22404859922853698,0.09895140077146303
Malawi,MWI,553,2016,0.342,0.24199850929357722,0.10000149070642281
Timor-Leste,TLS,860,2016,0.372,0.27032718777930964,0.10167281222069036
Liberia,LBR,450,2016,0.343,0.23599776787183194,0.10700223212816809
Solomon Islands,SLB,940,2016,0.362,0.25387453413743327,0.10812546586256672
Moldova,MDA,359,2016,0.347,0.23599776787183194,0.11100223212816804
Guyana,GUY,110,2016,0.41,0.29636012745403256,0.11363987254596741
Cape Verde,CPV,402,2016,0.472,0.3550508765731324,0.11694912342686758
Indonesia,IDN,850,2016,0.43,0.31220478781439254,0.11779521218560746
Niger,NER,436,2016,0.366,0.23599776787183194,0.13000223212816805
Kenya,KEN,501,2016,0.37,0.23599776787183194,0.13400223212816806
Sao Tome and Principe,STP,403,2016,0.403,0.2678827345134419,0.1351172654865581
El Salvador,SLV,92,2016,0.405,0.2631919591239432,0.1418080408760568
Hungary,HUN,310,2016,0.418,0.26839490288268103,0.14960509711731895
Namibia,NAM,565,2016,0.444,0.2876219390575796,0.1563780609424204
Panama,PAN,95,2016,0.473,0.3140176077612009,0.15898239223879906
Poland,POL,290,2016,0.489,0.32714172837350425,0.16185827162649574
Mexico,MEX,70,2016,0.399,0.23599776787183194,0.16300223212816808
Mauritius,MUS,590,2016,0.461,0.29699399315757785,0.16400600684242217
Sri Lanka,LKA,780,2016,0.388,0.22075709498274415,0.16724290501725586
South Korea,KOR,732,2016,0.469,0.29986260935205666,0.1691373906479433
Benin,BEN,434,2016,0.481,0.3096944444242798,0.1713055555757202
Romania,ROU,360,2016,0.506,0.3304105336407134,0.17558946635928663
Bulgaria,BGR,355,2016,0.494,0.31831259207851015,0.17568740792148985
Argentina,ARG,160,2016,0.502,0.32131597511736215,0.18068402488263785
Botswana,BWA,571,2016,0.434,0.24953978411645997,0.18446021588354003
Vanuatu,VUT,935,2016,0.467,0.2344289365181334,0.23257106348186662
Croatia,HRV,344,2016,0.538,0.30476227275139717,0.23323772724860287
Israel,ISR,666,2016,0.467,0.22839020971308951,0.2386097902869105
Senegal,SEN,433,2016,0.449,0.20800500013583367,0.24099499986416634
Suriname,SUR,115,2016,0.476,0.22362509746080947,0.2523749025391905
Spain,ESP,230,2016,0.603,0.3444430834000345,0.2585569165999655
Trinidad and Tobago,TTO,52,2016,0.506,0.24736801694635557,0.25863198305364443
South Africa,ZAF,560,2016,0.499,0.23599776787183194,0.2630022321281681
Peru,PER,135,2016,0.561,0.295279069004167,0.26572093099583305
Czechia,CZE,316,2016,0.566,0.2951617861816574,0.27083821381834255
Chile,CHL,155,2016,0.591,0.31983372365575424,0.2711662763442457
Japan,JPN,740,2016,0.527,0.24907010953681996,0.27792989046318006
Brazil,BRA,140,2016,0.519,0.23599776787183194,0.2830022321281681
Jamaica,JAM,51,2016,0.543,0.25728986390028535,0.2857101360997147
Cyprus,CYP,352,2016,0.58,0.2889554962305548,0.2910445037694452
Lithuania,LTU,368,2016,0.626,0.32732910648589,0.29867089351411
Slovenia,SVN,349,2016,0.657,0.350511823193692,0.306488176806308
Portugal,PRT,235,2016,0.639,0.3275058031844107,0.3114941968155893
Malta,MLT,338,2016,0.571,0.23902785561294557,0.33197214438705436
Greece,GRC,350,2016,0.636,0.28274326510731,0.35325673489269
Finland,FIN,375,2016,0.609,0.2523528513023928,0.35664714869760716
Estonia,EST,366,2016,0.648,0.2834824404873524,0.36451755951264764
