lag,delta_vdem,delta_baseline
1,0.008038712150249138,-0.001314972088182647
2,0.01698409002716337,-0.002066755424233585
3,0.025711538461538463,-0.0028566224908140544
4,0.03470396825396825,-0.0035094629859479614
5,0.04292542101042502,-0.003962110132814545
