country_name,country_text_id,COWcode,year,v2x_polyarchy,dem_culture,pred_const,gap_const,pred_culture,gap_culture
Iceland,ISL,395,2016,0.86,10.0,0.48272976220018615,0.37727023779981383,0.7925665283306074,0.06743347166939262
Madagascar,MDG,580,2016,0.48,5.63,0.38269269422592045,0.09730730577407953,0.41113838077513576,0.06886161922486422
Netherlands,NLD,210,2016,0.879,8.13,0.6385686387755483,0.24043136122445175,0.8092645981234549,0.06973540187654514
Bhutan,BTN,760,2016,0.558,4.38,0.5198643598949513,0.038135640105048774,0.4850127094840729,0.07298729051592717
Sweden,SWE,380,2016,0.914,10.0,0.5545431164348003,0.3594568835651998,0.8396865630724247,0.0743134369275753
Ivory Coast,CIV,437,2016,0.529,5.63,0.4032588700020793,0.12574112999792075,0.4520998188070894,0.07690018119291064
Ecuador,ECU,130,2016,0.54,4.38,0.5067661566645679,0.03323384333543211,0.457567369176913,0.08243263082308705
Cape Verde,CPV,402,2016,0.8,6.88,0.5198643598949513,0.28013564010504877,0.7170507887210009,0.08294921127899912
Lesotho,LSO,570,2016,0.576,5.63,0.5937431603323873,-0.01774316033238732,0.4913807648120999,0.08461923518790004
Bolivia,BOL,145,2016,0.62,3.75,0.536562573034298,0.083437426965702,0.5351313852060966,0.0848686147939034
Canada,CAN,20,2016,0.834,8.75,0.5080501106477744,0.3259498893522256,0.7450710460616803,0.08892895393831968
Lebanon,LBN,660,2016,0.479,4.38,0.662538339249234,-0.18353833924923402,0.38676829083741626,0.09223170916258372
Finland,FIN,375,2016,0.869,8.75,0.529028210152383,0.339971789847617,0.7671971966440395,0.10180280335596048
Liberia,LBR,450,2016,0.615,5.0,0.5198643598949513,0.09513564010504871,0.5077376035615869,0.10726239643841307
Denmark,DNK,390,2016,0.918,9.38,0.6289549377272677,0.2890450622727323,0.8082181808686784,0.10978181913132168
Uruguay,URY,165,2016,0.897,7.5,0.5131696790048454,0.3838303209951546,0.7835815526259071,0.1134184473740929
Pakistan,PAK,770,2016,0.429,2.5,0.4096168752887126,0.01938312471128739,0.31412960601055195,0.11487039398944804
India,IND,750,2016,0.524,5.63,0.4064385979001624,0.11756140209983762,0.40858627627238103,0.11541372372761899
New Zealand,NZL,920,2016,0.883,8.13,0.4987835985188692,0.3842164014811308,0.766743425757946,0.11625657424205404
Mexico,MEX,70,2016,0.643,4.38,0.47286844361202757,0.17013155638797245,0.5213267331769503,0.12167326682304969
Indonesia,IDN,850,2016,0.639,6.25,0.5246202255661777,0.1143797744338223,0.5162336374275982,0.12276636257240181
Australia,AUS,900,2016,0.871,8.75,0.5497295609201298,0.3212704390798702,0.7456156935878736,0.1253843064121264
Luxembourg,LUX,212,2016,0.874,8.75,0.35896062292412634,0.5150393770758737,0.7384877270546982,0.13551227294530177
Switzerland,CHE,225,2016,0.902,9.38,0.536562573034298,0.36543742696570203,0.7645654821082445,0.13743451789175554
Colombia,COL,100,2016,0.682,4.38,0.6168123488145469,0.06518765118545311,0.5428091147466972,0.1391908852533028
Latvia,LVA,367,2016,0.84,6.88,0.6558071807931382,0.1841928192068618,0.6988780576247714,0.14112194237522857
El Salvador,SLV,92,2016,0.659,5.0,0.5131696790048454,0.14583032099515458,0.5176746485070454,0.14132535149295467
Italy,ITA,325,2016,0.869,8.13,0.4270184372413013,0.4419815627586987,0.7252142060308706,0.14378579396912938
Austria,AUT,305,2016,0.848,6.88,0.5198643598949513,0.3281356401050487,0.7009935738197014,0.14700642618029858
Guatemala,GTM,90,2016,0.626,4.38,0.5068262315159098,0.11917376848409023,0.47556196847794086,0.15043803152205915
Jamaica,JAM,51,2016,0.804,6.88,0.5076331236176064,0.2963668763823937,0.6515894303323658,0.15241056966763422
Nepal,NPL,790,2016,0.665,5.63,0.49959399006812416,0.16540600993187587,0.512521944757831,0.15247805524216906
Ireland,IRL,205,2016,0.886,10.0,0.5080501106477744,0.3779498893522256,0.7316149885570263,0.15438501144297367
Burkina Faso,BFA,439,2016,0.683,5.63,0.5597580373939004,0.12324196260609965,0.5194553409272638,0.1635446590727363
Poland,POL,290,2016,0.731,4.38,0.5933017818231201,0.13769821817687988,0.5564277399981902,0.1745722600018098
Mongolia,MNG,712,2016,0.671,5.0,0.5616266021965172,0.10937339780348287,0.4847268920241448,0.18627310797585522
Guyana,GUY,110,2016,0.657,4.38,0.529028210152383,0.12797178984761703,0.46983170201524216,0.18716829798475787
Ghana,GHA,452,2016,0.725,6.25,0.46373832279598115,0.2612616772040188,0.535140214642085,0.18985978535791492
Benin,BEN,434,2016,0.712,5.63,0.5131696790048454,0.19883032099515452,0.5189863501802574,0.19301364981974256
Cyprus,CYP,352,2016,0.851,6.88,0.5288781372901814,0.3221218627098186,0.6577669369613574,0.19323306303864263
Niger,NER,436,2016,0.573,4.38,0.42555869557712006,0.1474413044228799,0.37709868544665215,0.1959013145533478
Chile,CHL,155,2016,0.886,6.88,0.5714538413414393,0.3145461586585607,0.6794860925075126,0.20651390749248744
Czechia,CZE,316,2016,0.852,6.88,0.549841564862796,0.302158435137204,0.6441828009468336,0.20781719905316642
Romania,ROU,360,2016,0.733,5.0,0.536562573034298,0.196437426965702,0.5179425897039315,0.2150574102960685
Bulgaria,BGR,355,2016,0.667,4.38,0.545389815994511,0.12161018400548906,0.4469423656572562,0.22005763434274384
Portugal,PRT,235,2016,0.888,6.88,0.575606038848903,0.31239396115109697,0.6632572014223717,0.22474279857762836
Costa Rica,CRI,94,2016,0.902,6.88,0.5582648001563714,0.34373519984362866,0.671467354369942,0.23053264563005804
Panama,PAN,95,2016,0.753,5.0,0.5272890368393066,0.2257109631606934,0.5001189130884474,0.25288108691155264
Brazil,BRA,140,2016,0.781,3.75,0.5778749234561251,0.2031250765438749,0.5212773976068762,0.25972260239312384
Bosnia and Herzegovina,BIH,346,2016,0.547,3.75,0.5198643598949513,0.027135640105048764,0.28459824911961573,0.2624017508803843
Georgia,GEO,372,2016,0.685,5.0,0.48134998992943157,0.2036500100705685,0.4203233690579461,0.26467663094205396
Estonia,EST,366,2016,0.907,6.88,0.5287682565430394,0.37823174345696065,0.6376197864642767,0.2693802135357233
Croatia,HRV,344,2016,0.765,5.0,0.4977068680710637,0.26729313192893633,0.4866163413035518,0.2783836586964482
Lithuania,LTU,368,2016,0.825,6.25,0.5198643598949513,0.3051356401050487,0.5319576224307189,0.2930423775692811
Namibia,NAM,565,2016,0.711,5.63,0.5131696790048454,0.19783032099515452,0.41666171853668865,0.2943382814633113
Slovakia,SVK,317,2016,0.837,5.63,0.5806636928347852,0.2563363071652147,0.5405003013692049,0.29649969863079506
Senegal,SEN,433,2016,0.726,6.25,0.4315905948653487,0.2944094051346513,0.422360319617035,0.30363968038296496
Slovenia,SVN,349,2016,0.861,5.63,0.536562573034298,0.324437426965702,0.5494879492564454,0.3115120507435546
Greece,GRC,350,2016,0.872,6.25,0.545753980800654,0.32624601919934604,0.55778573493337,0.31421426506662997
South Africa,ZAF,560,2016,0.752,5.0,0.4145183606949222,0.3374816393050778,0.4240584097278933,0.3279415902721067
Belgium,BEL,211,2016,0.901,6.88,0.4457377463514464,0.4552622536485536,0.5511699778177483,0.3498300221822517
Peru,PER,135,2016,0.788,4.38,0.45256457014111706,0.33543542985888297,0.390348281594074,0.39765171840592606
Suriname,SUR,115,2016,0.754,5.0,0.5198643598949513,0.23413564010504873,0.35560854339062964,0.39839145660937036
France,FRA,220,2016,0.883,6.25,0.5198643598949513,0.36313564010504873,0.4604568785768391,0.4225431214231609
Taiwan,TWN,713,2016,0.835,5.63,0.5198643598949513,0.3151356401050487,0.3992744315848733,0.43572556841512666
Trinidad and Tobago,TTO,52,2016,0.79,5.0,0.5565982224159123,0.23340177758408776,0.3486593332915079,0.44134066670849215
Eritrea,ERI,531,2017,0.069,6.88,0.5198643598949513,-0.45086435989495127,0.6605622646210031,-0.591562264621003
Uganda,UGA,500,2017,0.291,6.88,0.5877072902860407,-0.29670729028604076,0.7888836919654675,-0.4978836919654675
China,CHN,710,2017,0.078,6.25,0.4109421319035737,-0.3329421319035737,0.49480722508191277,-0.41680722508191276
North Korea,PRK,731,2017,0.085,1.25,0.536562573034298,-0.451562573034298,0.47009228252028684,-0.3850922825202868
Qatar,QAT,694,2017,0.041,5.63,0.45052708077298736,-0.4095270807729874,0.41475730425815005,-0.37375730425815007
Vietnam,VNM,816,2017,0.15,5.63,0.529028210152383,-0.37902821015238297,0.4945737347055607,-0.34457373470556074
Zambia,ZMB,551,2017,0.36,6.88,0.6055607613089266,-0.24556076130892657,0.7001006946598245,-0.3401006946598245
Tajikistan,TJK,702,2017,0.168,6.25,0.5190522331738318,-0.3510522331738317,0.5018496373729957,-0.33384963737299567
Ethiopia,ETH,530,2017,0.228,5.63,0.5506433682946531,-0.3226433682946531,0.5561365740254779,-0.3281365740254779
Sudan,SDN,625,2017,0.226,5.0,0.600502754283133,-0.37450275428313307,0.5300140784237268,-0.30401407842372685
Iran,IRN,630,2017,0.185,3.13,0.536562573034298,-0.351562573034298,0.48551409661918205,-0.30051409661918205
Venezuela,VEN,101,2017,0.233,4.38,0.5131696790048454,-0.28016967900484546,0.5259709753997266,-0.2929709753997266
Azerbaijan,AZE,373,2017,0.202,3.75,0.5534697883559451,-0.35146978835594506,0.4911029002302562,-0.2891029002302562
Nicaragua,NIC,93,2017,0.281,5.63,0.536562573034298,-0.25556257303429797,0.5646990770484657,-0.28369907704846564
Morocco,MAR,600,2017,0.259,5.63,0.505560533031579,-0.246560533031579,0.5388766940993243,-0.27987669409932425
Saudi Arabia,SAU,670,2017,0.014,3.13,0.5076331236176064,-0.49363312361760636,0.28337301653190405,-0.26937301653190404
Chad,TCD,483,2017,0.265,3.75,0.536562573034298,-0.271562573034298,0.5328343985800025,-0.26783439858000246
Belarus,BLR,370,2017,0.254,5.63,0.5198643598949513,-0.2658643598949513,0.5103590552568558,-0.25635905525685576
Burundi,BDI,516,2017,0.157,5.0,0.4981255545218548,-0.3411255545218548,0.4072762749240095,-0.2502762749240095
Angola,AGO,540,2017,0.307,5.0,0.536562573034298,-0.229562573034298,0.5512011968686011,-0.24420119686860114
Thailand,THA,800,2017,0.154,5.0,0.5131696790048454,-0.3591696790048454,0.39583576094319345,-0.24183576094319345
Djibouti,DJI,522,2017,0.243,5.63,0.6465062205093413,-0.40350622050934126,0.4737898627732053,-0.2307898627732053
Türkiye,TUR,640,2017,0.29,5.63,0.5673823213399471,-0.27738232133994717,0.5065851125835209,-0.21658511258352092
Republic of the Congo,COG,484,2017,0.252,3.75,0.4521627684722196,-0.2001627684722196,0.4655514053334028,-0.21355140533340278
United Arab Emirates,ARE,696,2017,0.095,5.0,0.49369134245911395,-0.398691342459114,0.3075078400099317,-0.2125078400099317
Eswatini,SWZ,572,2017,0.132,5.63,0.32931693881537794,-0.19731693881537793,0.34243369563526216,-0.21043369563526215
Zimbabwe,ZWE,552,2017,0.3,5.63,0.4815826589019136,-0.1815826589019136,0.5091967780938698,-0.20919677809386977
Cambodia,KHM,811,2017,0.234,5.63,0.44913650842618574,-0.21513650842618573,0.43034547701707204,-0.19634547701707203
Armenia,ARM,371,2017,0.381,1.88,0.5854925689438496,-0.2044925689438496,0.5697484467289894,-0.18874844672898938
Ukraine,UKR,369,2017,0.43,6.25,0.536562573034298,-0.106562573034298,0.5979323569405538,-0.1679323569405538
Democratic Republic of the Congo,COD,490,2017,0.304,3.75,0.5099538336109287,-0.20595383361092873,0.45988411980867905,-0.15588411980867906
Equatorial Guinea,GNQ,411,2017,0.174,4.38,0.42759217616821266,-0.25359217616821267,0.3204004486611087,-0.14640044866110874
Malaysia,MYS,820,2017,0.333,6.25,0.42229739290108437,-0.08929739290108435,0.46729471800382255,-0.13429471800382253
